user_id,hidden_time,time_to_completion,reach_end,raw_session_length,session_length,SP,MP,LP,VLP,NARRATIVE_ELEMENT_CHANGE,PLAY_PAUSE_BUTTON_CLICKED,LINK_CHOICE_CLICKED,SUBTITLES_BUTTON_CLICKED,BACK_BUTTON_CLICKED,SEEK_FORWARD_BUTTON_CLICKED,VIDEO_SCRUBBED,WINDOW_ORIENTATION_CHANGE,VOLUME_CHANGE,FULLSCREEN_BUTTON_CLICKED,SEEK_BACKWARD_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,USER_SET_VARIABLE,total_events,FA-Score,AE-Score,PU-Score,RW-Score,UES-Score
28f55086-5622-4d33-9678-0ccff7835e36,0.049,4301.413,True,5027.774,5027.725,0,1,0,4,85,2,40,0,6,0,0,0,0,0,0,2,2,0,137,3.67,3.33,4.33,4.67,4.0
ea54bc8b-d2a6-410a-95f2-09bbb07d1f31,1.218,2997.719,True,4034.275,4033.0570000000002,1,1,0,9,47,8,15,0,0,0,0,0,0,3,0,0,8,0,81,3.0,3.0,5.0,3.0,3.5
a3a5a009-51ab-4fce-b89f-2c8e1ac1673c,0.601,1793.26,True,2601.712,2601.111,0,0,0,2,64,2,25,0,0,0,0,4,0,0,0,0,2,0,97,3.33,3.0,4.33,3.33,3.5
5be3455c-5983-438f-b634-1c50774609fb,0.0,3124.089,True,3724.829,3724.829,3,1,0,4,60,2,26,0,4,2,0,0,0,0,3,2,0,0,99,4.0,4.67,4.67,4.33,4.42
f8a17e69-1371-47e8-9753-182deb8dd47a,0.0,3349.26,True,4236.967,4236.967,1,1,2,13,64,10,37,0,0,0,4,0,0,2,1,0,0,0,118,4.0,4.0,4.33,4.0,4.08
a6a6d45d-6e6d-41e1-9e1c-5af051c8ce82,0.0,3560.672,True,3770.874,3770.874,0,0,1,4,56,4,30,0,0,0,1,0,0,0,0,0,0,0,91,2.67,2.67,3.0,3.33,2.92
26246096-6fd4-4191-8329-c05013412210,3824.007,3029.572,True,7725.085,3901.078,7,3,0,20,59,24,27,0,0,0,5,0,0,0,3,0,23,0,141,3.0,4.0,4.33,4.33,3.92
af06b1d9-895e-4449-a557-f76d65a15fd4,0.0,1092.935,True,2350.386,2350.386,6,4,11,14,59,2,83,0,0,0,0,0,0,4,0,58,1,0,207,4.0,4.0,5.0,5.0,4.5
dad7931f-633f-4224-9c35-0d1b5e6bfe00,12.569,1611.222,True,1788.399,1775.83,0,5,0,4,46,0,25,0,0,0,1,0,0,0,0,18,4,0,94,3.33,4.0,4.67,4.33,4.08
4a80e593-db83-4335-8eba-2de82cc3589f,0.0,3101.505,True,3857.459,3857.459,2,1,0,5,69,2,33,0,0,0,0,0,0,4,1,0,0,0,109,1.67,3.33,3.0,2.33,2.58
96a599a4-59f7-4523-8bef-00a5518152f0,0.0,3684.697,True,4363.906,4363.906,0,1,0,3,66,0,39,0,2,0,0,0,0,2,1,0,1,0,111,2.67,2.67,3.33,3.67,3.08
eca45f9c-96c0-41de-852c-f5fd8090f257,1421.064,2470.9570000000003,True,4999.926,3578.862,0,0,0,1,58,0,27,0,0,0,0,0,0,0,0,2,3,0,90,2.0,3.0,5.0,4.0,3.5
46ca6d77-32f2-4cbb-a4e2-c4f68d246137,0.904,1382.026,True,1617.281,1616.377,2,6,3,7,45,2,26,0,0,0,1,0,0,0,0,30,2,0,106,3.0,2.67,3.67,2.33,2.92
